()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:전투 후......
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:나쁜 소식들뿐이야.+우선 M4 SOPMOD II가 실종됐어. 이 근방에 없는 것이 확인됐고, 주변에서도 현재 SOPII의 상태를 확인할 수 있는 단서는 발견되지 않았어.
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:............
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:내가 너무 직설적으로 말했나?
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:그러는 편이 나아......+그럼 RO는?
AR15Mod(0)<Speaker></Speaker>;AK12(0)||<BIN>99</BIN>:......AK12가 한숨을 내쉬었다.
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:RO635의 기능은 완전히 정지되었어. 그리고......
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:......+난...... 그 자식들을 절대 용서할 수 없어.+그보다, 내가 전사한 인형의 마인드맵을 회수하라고 했을 텐데......
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:RO635의 마인드맵 모듈은 누군가에 의해 적출당한 상태였어.+RO가 사망한 뒤에 발생한 일인 게 분명해.
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:......+이건 좋은 소식인 건가...
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:긍정적으로 생각하자. 혹시 SOPII가 습격으로부터 몸을 피한 뒤에, RO의 마인드맵 모듈을 가지고 도망쳤을지도 모르잖아.+이 정도 대답이면 충분하지?
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:......+부디 그랬으면 좋겠는데 말이지...
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:분명 그랬을 거야. 그런 식으로 비관적으로 생각하는 건 자제하도록 해.+근데 다른 사람 일은 나중에 다시 고려하도록 하지.+11시 방향과 5시 방향에서 각각 2개의 철혈 소대가 나타났어. 게다가 이 부근의 지형이 좋지 못해서 우회할 수도 없을 것 같아. 아마 싸워야 할걸.
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:너 말야, 정말 이야기하면서 동시에 전장 상황을 정찰할 수 있는 거야?
AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:날 얕보고 있는 거야? 아니면 스스로를 과대평가하고 있는 거려나?
AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN><黑屏1>:둘 다 아니야. 전적을 보면 가늠할 수 있잖아.
AR15()<Speaker>AR15</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:(M4...... 만약 네가 AR팀의 상황이 어떤지 알게 된다면......)+(넌...... 어떻게 할 거야?)
