페르시카()<Speaker>페르시카</Speaker>||<BIN>9</BIN><BGM>BGM_Room</BGM><黑屏2>:너 정말... 지금 가야겠어?
M4A1()<Speaker>M4A1</Speaker>||<黑屏1>:그럼 이 근처에서 내려주세요. 한 번 시도해볼게요.
()||<BIN>4</BIN><黑屏2>:......15분 후.
M4A1(0)<Speaker>M4A1</Speaker>||:(지상에 내려왔지만 도로 역시 봉쇄되어 있어...)+(여기는 원래 그리폰이 관리하는 구역일 텐데, 어째서 지휘관님과 연락이 닿질 않는 걸까......)+(여기선 내 운을 믿어볼 수밖에...)
M4A1(0)<Speaker>인간 용병</Speaker>||:멈춰라! 이 앞으로는 출입 금지 구역이다!
M4A1(2)<Speaker>M4A1</Speaker>||:저는 S09 관할 구역의 그리폰 특별 집행 전술 인형입니다. 현재 임무를 위해 복귀하고 있습니다.+식별 번호는 여기 있습니다.
M4A1(2)<Speaker>인간 용병</Speaker>||:그리폰의 전술 인형?+이 앞으로는 본격적인 연합 작전의 진행을 위해 출입이 제한되어 있으므로 그리폰의 인형은 담당 지휘관의 허가가 없으면 들어갈 수 없다.
M4A1(2)<Speaker>M4A1</Speaker>||:전...... 다른 지역에서 온 터라 아직 제 지휘관님과 만나지 못했습니다.
M4A1(2)<Speaker>인간 용병</Speaker>||:그렇다면 우선 네 주인한테 연락하라고, 인형 아가씨.+그냥 포기하고 돌아가는 게 어때, 너처럼 비실한 인형이 지금 들어가봤자 별 도움도 안될 테고,+더군다나 그런 무기를 가지고 있다면 더 말할 것도 없지.
M4A1(2)<Speaker>M4A1</Speaker>||:............
NPC-Ange(0)<Speaker>???</Speaker>||:이 비실한 인형이 네 척추를 순식간에 분질러버릴 수도 있으니까 말을 골라서 하는 게 좋을 거야.
NPC-Ange(0)<Speaker>인간 용병</Speaker>||:누구냐?
NPC-Ange(0)<Speaker>성숙한 인간 여성</Speaker>||:17 혼합 정찰여단의 2급 대위다. 이건 내 신분증이고. 이제 들어가도 되겠나?
NPC-Ange(0)<Speaker>인간 용병</Speaker>||:충성! 들어가십시오!
NPC-Ange(0)<Speaker>성숙한 인간 여성</Speaker>||:이 인형은 내 보좌관이니 같이 들어가도 되겠지?
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:──??
NPC-Ange(0);M4A1(0)||:
인간 용병()<Speaker>인간 용병</Speaker>||:물론입니다! 하지만 방금 저 인형이 자신을 그리폰 소속이라고......
NPC-Ange(0)<Speaker>성숙한 인간 여성</Speaker>;M4A1(0)||:현 시간부로 이 인형은 내 보좌관이다.
NPC-Ange(0);M4A1(0)||:
인간 용병()<Speaker>인간 용병</Speaker>||:알겠습니다! 인증되었습니다! 들어가십시오!
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||<黑屏1>:......
()||<黑屏2><BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>:......여자와 M4A1이 함께 제한 구역에 들어갔다. 
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏2><BIN>83</BIN><BGM>BGM_Room</BGM>:안젤리아 씨.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:신분증에 있는 이름을 본 거야?
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:맞아요... 죄송하지만 전 당신을 보좌해드릴 수 없습니다.+전 제 지휘관님을 찾으러 가야만 해요.
NPC-Ange(0)<Speaker></Speaker>;M4A1(0)||:......안젤리아가 웃었다.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:지금 나한테 자신의 성실함을 어필이라도 하려는 건가?
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:전 그저 사실 그대로 이야기하고 있을 뿐입니다......
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:알고 있어.+하지만 너 말야, 지금 네 지휘관이 어디에 있는지나 알고 있는 거야?+네 지휘관은 지금 최전방에 있기 때문에, 현재 관련된 모든 정보는 군에 의해 암호화되어 있어. 지금 네 권한으로는 제대로 된 정보 하나 찾기도 힘들 거라고.
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:이곳은 그리폰의 관할 구역이니 방법이야 있겠죠.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:지금까진 그랬겠지.+하지만 지금의 넌 막 새장을 벗어난 작은 새 한 마리일 뿐이야.+저기 앞에 연기가 솟아오르는 게 보이지? 방금 철혈이 또 보급소대를 처리했나 본데.+여기는 진짜 전장이야. "베스피드"나 "예거", 혹은 "디너게이트" 몇 마리가 네 목숨을 앗아갈 수도 있단 말이지.
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:그럼 어째서 절 데리고 들어오신 거죠?
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:누가 널 도와달라고 돈을 줬거든. 네가 네 발로 사지로 걸어간다고 해도 난 널 도와야 하는 사람이라고.
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:페르시카 씨... 말인가요?
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:머리가 제법 잘 돌아가잖아.
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:하지만 전 페르시카 씨에게 아무것도 들은 게 없는걸요. 당신은 대체 누구시죠?
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:난 말이지......
NPC-Ange(0)<Speaker></Speaker>;M4A1(0)||:......안젤리아가 M4A1을 훑어봤다.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:난 어디서든 흔히 볼 수 있는 용병일 뿐이야. 받은 돈만큼 일하지. 별로 특별한 것도 없어.
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:그렇다면...... 방금 그건 가짜 신분증인가요?
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:군 측의 보안은 결코 만만하게 볼 수 없지만, 난 이 방면의 전문가거든.+그리고 너무 걱정하지 마. 이번에는 나만의 방식으로 너희들을 도와주러 온 거니까...... 뭐 문제 있어?
NPC-Ange(0);M4A1(0)<Speaker></Speaker>||:......M4A1은 잠시 침묵했다.
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:이다음에는 어떻게 해야 할지 가르쳐주세요.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:뭐?
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:방금 당신이 페르시카 씨에게 돈을 받고 절 도우러 오셨다고 하셨잖아요.+저...... 이다음엔 뭘 어떻게 해야 좋을지 모르겠어서......
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:넌 아무런 준비도 없이, 무모하게 혼자 군사 지역으로 들어가려 했던 거야?
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:전 제 팀으로..... 제 친구들 곁으로 돌아가서 철혈의 엘더 브레인을 찾아 결판을 내야 한다는 생각만 들어요.+하지만, 목적을 달성하기 위한 방법은 모르고 있어요......+저한테 무슨 문제가 있어서 이렇게 된 건지...... 모든 게 엉망이에요......
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:넌 더 굳세지고 싶어 하지만, 애초부터 그런 성격이 아니라서 그래.  너에겐 확실히 어려운 일이지.
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:전......
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:앞쪽에 작은 거점이 있으니까 안에서 기다리도록 하자.
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:뭘요?
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:네 지휘관이 널 데리러 이쪽으로 올 거야. 내가 도와줄 테니 날 믿어.
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:정말......인가요?
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:그래.+ 내가 하고 싶어서 하는 건 아니지만 너에게 다시 한번 의지를 심어주겠어.
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:다시 한번이라뇨?
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:네가 여기 왔다는 건 이미 스스로 길을 선택했다는 거야.+너 스스로 선택할 수 있다면 답은 이미 나와 있는 거나 다름없지.
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:하지만 그 답이란 게 명령에서 나온 게 아니다 보니 전 그게 정확한 판단인지 알 수가 없어요......
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:인형은 원래 그런 식으로 설계되어 있어. 하지만 넌 달라. 넌 특별하지.+자신이 선택한 결과에 대한 책임을 져야 하기 때문에, 선택은 고통스러운 거야.+하지만 오직 네 선택에 대한 책임을 짐으로서 더욱 강해질 테고, 지금보다 더 강해지고 나서야 너 자신의 운명을 스스로 결정할 수 있는 거야.
NPC-Ange(0);M4A1(0)<Speaker>M4A1</Speaker>||:자신의 운명......
NPC-Ange(0)<Speaker>안젤리아</Speaker>;M4A1(0)||:네가 받은 모든 훈련은 오직 이날만을 위해서가 아니었나? AR팀의 M4A1?
M4A1(0)<Speaker></Speaker>||<黑屏1>:......안젤리아는 손을 흔들고서는 자리를 떠났다.
안젤리아()<Speaker>안젤리아</Speaker>||<黑屏2><BIN>9</BIN>:그때와는 달라, 넌 이미 변했어.+계속해서 변해가라고.+(그래야만 유일한 희망이 될 거야. 그들을 막을 희망이 말이지......)
()||<黑屏1><BGM>BGM_Empty</BGM>:............
()||<BIN>8</BIN><BGM>BGM_Sunshine</BGM><黑屏2>:......같은 시각, S11 구역의 그리폰 지휘 거점.
NPC-Kalin(0)<Speaker>카리나</Speaker>||:지휘관님, 저희 보급 물자가 무사히 기지에 도착했다고 해요! 이제 군 측에서 명령이 내려올 때까지 기다리는 것만 남았어요!+앗? 제가 방해한 건가요?+정말 죄송해요. 하지만 이렇게 중요한 작전을 앞두고 두근거림을 감출 수 없어요! 그런데 지휘관님은 하나도 긴장되지 않으신가 봐요? 이렇게 아침 일찍부터 일어나시는 건 엄청 드문 일이잖아요!+그렇죠...... 갑작스레 이런 명령을 받으면 누구라도 가만있지 못할 거예요.+마침내...... 철혈의 엘더 브레인과의 결전의 날이 찾아왔네요.+오랫동안 싸워왔지만, 정말 이런 시간이 오다니 오히려 어찌할 바를 모르겠어요.+게다가 이번 작전은 그리폰과 군부의 첫 연합 작전이니 생각만큼 순조롭게 흘러갈지......+.....네? 말이 너무 많다구요? 지휘관님! 어떻게 부관한테 그런 말을 하실 수가 있으세요!+어쨌든! 더 생각해봤자 소용없으니 얌전히 군에서 내리는 명령만 들으면 될 거라구요!+지휘관님, 최전방에서 싸울 준비를 해두세요! 저도 지휘관님을 위해서 최대한 열심히 서포트할 테니까요!
NPC-Kalin(0)<Speaker></Speaker>||:......지휘실로 통신이 걸려왔다.
NPC-Kalin(0)<Speaker>카리나</Speaker>||:왔어요, 왔어! 분명 군에서 명령이 내려온 걸 거예요!
NPC-Kalin(0);NPC-Helian(0)<Speaker></Speaker><通讯框>||:......삑
NPC-Kalin(0);NPC-Helian(0)<Speaker>헬리안</Speaker><通讯框>||:카리나, 너도 마침 여기 있었나. 잘됐군.
NPC-Kalin(3)<Speaker>카리나</Speaker>);NPC-Helian(0)||:에이 뭐예요...... 헬리안 씨네요......
NPC-Kalin(3);NPC-Helian(0)<Speaker>헬리안</Speaker>||:어째서 실망한 표정을 짓는 거지......+지휘관님의 제대는 현재 작전 구역에 도착했지만 다른 지휘관들은 아직 후방에 있으므로 지휘관님께 한 가지 중요한 임무를 부탁드리겠습니다.
NPC-Kalin(2)<Speaker>카리나</Speaker>);NPC-Helian(0)||:오옷! 이번 작전은 역시나 총공격이군요!
NPC-Kalin(2);NPC-Helian(0)<Speaker>헬리안</Speaker>||<黑点1>:5분 전, 철혈이 다수의 거점에서부터 기습을 걸어와서 보급에 차질을 빚고 있습니다.+저희 정찰 부대가 어느 거점인지 지도상에 표시해놓았으니 원활한 보급을 위해 지금 당장 철혈을 배제해주시기 바랍니다.
NPC-Kalin(0)<Speaker>카리나</Speaker><通讯框>||<BIN>10</BIN><BGM>BGM_War</BGM><黑点2>:이곳에 있는 철혈 거점인가 보네요?
NPC-Kalin(0);NPC-Helian(0)<Speaker>헬리안</Speaker><通讯框>||:그렇습니다. 중요한 작전이니만큼 절대로 대충 처리해서는 안 됩니다. 특히 이곳은 철혈의 본거지니까 더더욱.+그러니 이 임무를 여러분께 맡기겠습니다, 괜찮습니까?+......좋습니다. 지휘관님이야말로 저희가 가장 신뢰하고 있는 사람입니다. 그럼 행운을 빌겠습니다.
NPC-Kalin(0)<Speaker>카리나</Speaker>;NPC-Helian(0)||<黑点1>:본격적인 작전으로 들어가기 전에 몸풀기용으로 딱 좋겠는걸요? 빨리 처리해버리도록 하죠, 지휘관님!
()||<黑点2>:
