()||<BIN>2</BIN><BGM>BGM_Empty</BGM><SE1>Battlefield</SE1>:…………与德丽莎的战斗正在进行中。+……滴。
Himeko(0);Vector(0)<Speaker>Vector</Speaker>||:一艘红色与黑色涂装的大船？了解。
Himeko(0)<Speaker>姬子</Speaker>;Vector(0)||:再就是，飞船里有个女孩子叫希儿，她很怕生，请好好对她，不然的话……
Himeko(0);Vector(0)<Speaker>Vector</Speaker>||:不然？
Himeko(0);Theresa(0)<Speaker>德丽莎</Speaker>||:希儿体内寄宿着一个危险的负面人格，虽然已经被控制得差不多了，但不排除有重新暴走的可能。
PP90(0)<Speaker>PP90</Speaker>;Theresa(0)||:Vivi你真的不会吓到她吗？不然让我来……
PP90(0);Vector(0)<Speaker>Vector</Speaker>||:你是副官，留在这里做你最擅长的事吧。+虽然不是拿手戏，但我姑且也会摆几套商用表情的。+那么，我先去收拾一下……
PP90(0)<Speaker></Speaker>||:……Vector离开了。
PP90(0)<Speaker>PP90</Speaker>||:Vivi，没问题吧……
PP90(0)<Speaker>琪亚娜</Speaker>||:放心吧，PP90。+以我的观察，Vector是个心思很细腻的人形，甚至细腻到过于敏感的程度。+虽然这么说有些唐突，也许对于希儿，她反而是合适的人选。
PP90(0)<Speaker>PP90</Speaker>||:是这样吗？+那太好了……Vivi也会交到合适的朋友了呢。
PP90(0)<Speaker>琪亚娜</Speaker>||<黑屏1>:你也是她的朋友啦，只是她不愿意说出来而已。+好啦，闲聊先到这里，开始工作啦！+目标是铁血破坏者，干掉它的死士大军，夺回我们的同伴吧！
