()||<BIN>7</BIN><Night><BGM>BGM_Sneak</BGM>:......리벨리온 소대는 계속해서 철혈의 봉쇄를 뚫고, 404소대가 위치한 장소로 나아갔다.
AK12(0);M4A1Mod(0)<Speaker></Speaker>||<BIN>7</BIN><Night>:......M4A1의 의식이 현실로 돌아왔다.
AK12(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night><BGM>BGM_Sneak</BGM>:죄송해요, 잠깐 한눈을 팔았네요, 방금 어디까지 말했죠?
AK12(0)<Speaker>AK12</Speaker>;M4A1Mod(0)||<BIN>7</BIN><Night>:나야말로 사과할게, 내 대화 주제가 너무 지루했나 봐.+AR15, 현재 상황 좀 설명해줘.
AR15Mod(0)<Speaker>AR15</Speaker>;M4A1Mod(0)||<BIN>7</BIN><Night>:전방에 바로 404소대가 있어.+보아하니 철혈도 참 녀석들을 싫어하는 것 같네, 저기 포위를 얼마나 두껍게 쌓았는지 보라고...+(꼴 좋다, UMP45.)
AR15Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:지금 저들과 정면에서 맞서야 하는 건 저희예요, AR15.+우선 바깥에서 길을 하나 뚫어서 404소대의 부담을 줄여나가야 해요…
M4A1Mod(0)<Speaker></Speaker>||<BIN>7</BIN><Night>:......M4A1은 AK12가 자신을 관찰하고 있는 것을 눈치챘다.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:무슨 일이죠?
AK12(0)<Speaker>AK12</Speaker>;M4A1Mod(0)||<BIN>7</BIN><Night>:궁금해서, AR팀의 리더와 404소대의 리더가 만나는 그 순간을 말이야. 
AK12(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night><黑点1>:...+그것도 그들을 구해낸 다음의 일입니다.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night><黑点2>:404소대, 여기는 M4A1.+저희는 현재 빅 데이터베이스 거치소의 외벽 구역에 도착했습니다, 그쪽의 상황은 어떤가요?
M4A1Mod(0)<Speaker></Speaker>||<BIN>7</BIN><Night>:......
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:......404소대?
M4A1Mod(0)<Speaker>???</Speaker>||<BIN>7</BIN><Night>:어머나? 드디어 나타났구나♪
UMP45(0)<Speaker>UMP45</Speaker><通讯框>;M4A1Mod(0)||<BIN>7</BIN><Night>:AR팀의 리더, 아니면 전 리더... M4A1 씨.
UMP45(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:...이 사람이… 그 UMP45?+목소리만 들어도 위험한 느낌이 들어…
UMP45(0)<Speaker>UMP45</Speaker>;M4A1Mod(0)||<BIN>7</BIN><Night>:AR15도 같이 있어? 오랜만에 외출 활동은 어때?
UMP45(0);AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>7</BIN><Night>:지금 M4A1은 우리의 대장이야, 임무나 어서 말해.
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:그래그래, 지금 처지는 그닥이지만, 벌판에서 달리는 것쯤은 할 수 있어.
UMP45(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:안젤리아가 맡긴 임무는 완수하였나요?
UMP45(0)<Speaker>UMP45</Speaker>;M4A1Mod(0)||<BIN>7</BIN><Night>:그렇지 않고선, 너희 통신을 받을 면목이 없지.
UMP45(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:그쪽의 인원을 집합시키세요, 5분 뒤 저희는 여기 표시된 지점에 도착할 테니 거기서 만나도록 하죠.
UMP45(0)<Speaker>UMP45</Speaker>;M4A1Mod(0)||<BIN>7</BIN><Night>:임무를 마치고 빠지는 건 간단해, M4A1...+하지만 지금 당장 끝장내야 하는 일도 있는 법이지.+개인적인 원한 말고도, 이후를 위해서도 말이야.
UMP45(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:무슨 속셈이죠?+일을 더 늘릴 셈이라면 동참하지 않겠어요.
UMP45(0)<Speaker>UMP45</Speaker>;M4A1Mod(0)||<BIN>7</BIN><Night>:게이저.+알고 있어? 지금 이 곤란한 상황을 만든 건 처음부터 다 게이저의 지휘 때문이야.
UMP45(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:게이저?+설마 지휘관과 싸우고 있는 부대인가...
UMP45(0)<Speaker>UMP45</Speaker>;M4A1Mod(0)||<BIN>7</BIN><Night>:지금 우리를 둘러싼 녀석들도 마찬가지야+네가 전에 귀찮은 일을 만났다면, 아마 그것도 녀석 탓이겠지.
UMP45(0);AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>7</BIN><Night>:아마 인트루더는 게이저의 부하일 거야, 이제 곧 우리를 따라잡아서, 앞뒤로 협공을 펼치겠지.
UMP45(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:(그럼 게이저는 왜 우리와 404를 내버려 두고, 그리폰 제대와 교전한 거지?)+뭐 됐어요... UMP45, 지금 녀석을 여기서 처치할 생각인가요?
UMP45(0)<Speaker>UMP45</Speaker>;M4A1Mod(0)||<BIN>7</BIN><Night>:맞아, 그리고 그럴 수단도 있지.+다만 너희의 도움이 필요해, 어떻게 생각해?
UMP45(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:우선 계획을 말하세요, 듣고 판단하겠습니다.
UMP45(0)<Speaker>UMP45</Speaker>;M4A1Mod(0)||<BIN>7</BIN><Night>:이미 네게 보냈어, 그리고 좌표도 지도에 표시해뒀어.
M4A1Mod(0)<Speaker></Speaker>||<BIN>7</BIN><Night>:...M4A1은 메일을 확인했다.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night><黑屏1>:......!+(그렇구나...)+(404소대… 아니… UMP45)+(이것이 당신들의 무서운 점이군요...)
