()||<BIN>80</BIN><黑屏2><BGM>BGM_Empty</BGM>:......+늦은 밤, 스프링필드의 카페.+카페의 문에서 가벼운 노크 소리가 울렸다.
()||<BGM>BGM_Empty</BGM><黑点2>:스프링필드는 서랍 안쪽에서 마인드맵 업그레이드 계획서를 꺼내 모신나강에게 건넸다.
M1891(0)<Speaker>모신나강</Speaker>||:이 계획서는...... 분명......
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:어떤 분께서 이걸 모신나강 씨에게 전해달라고 했어요...... 혹시라도 지금처럼 당신이 여기 오게 될 때 말이죠.
M1891(0)<Speaker>모신나강</Speaker>||:다만 내용이 분명...... 어라......?+......
()||<BGM>BGM_Moon</BGM>:이 업그레이드 계획서는 꽤나 많은 수정을 거쳤어요.+예전처럼 극단적으로 작전 효율의 상승을 추구하는 내용이 아니에요.+오히려 낡은 요소를 다수 보존하기로 허가받았답니다.
M1891(0)<Speaker>모신나강</Speaker>||:변경됐다니...... 지휘관이 수정한 거야............?+하지만...... 어째서?
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:토카레프 덕분이에요.+저번에 본부에서 돌아온 뒤, 곧바로 다들 불러모아서 청원서를 작성하여 지휘관님께 드렸어요.+참여 인원수도 예상을 뛰어넘었죠.
M1891(0)<Speaker>모신나강</Speaker>||:청원서라니......? 단지......... 나를 위해서?+역시 모르겠어, 어째서 이렇게까지......
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:다들 함께 지휘관님께 가서, 당신에게 있어서 업그레이드와 혈통이 어떠한 의미를 가졌는지를 설명했고, 개조의 방향성을 조정해달라고 부탁드렸어요.+지휘관님도 고려하신 뒤 승낙하셨고, 덕분에 이렇게 계획서가 수정됐어요.+이제 당신이 이 개조 계획을 받아들일지 말지만 남은 상황이죠.+돌아와 주세요, 다들 당신의 빈 자리에 힘들어하고 있답니다.
M1891(0)<Speaker>모신나강</Speaker>||:나...... 나는......
M1903Cafe(0)<Speaker>스프링필드</Speaker><Position>0,150</Position>||:당신이 모두를 놓지 못하기에, 다들 당신을 쉽게 놓아주질 못하는 거예요.+그러니, 마음의 준비를 단단히 하도록 하세요.
M1891(0)<Speaker>모신나강</Speaker>||:나는......+지휘관......+모두들......
()||<黑屏1>:모신나강의 뺨을 타고 흘러내린 눈물은, 꽉 쥐어 구겨진 계획서 위에 떨어졌다.
